KO id,Tau,lambda,num_ORFs,Trusted Cutoff,E_value_trusted,E_values_MAG,Rk
K10257,-5.997,0.69852,4825,382.7,5.848722539540066e-115,,
K19156,-4.0457,0.70986,4825,36.07,2.0715581399163905e-09,,
K07752,-7.1421,0.69474,4825,,,1.1e-10,
K21316,-8.0936,0.6943,4825,,,,
K19777,-4.2591,0.70785,4825,57.27,5.868235935881126e-16,,
K00637,-6.3205,0.69621,4825,,,5.9,
K16104,-5.9097,0.69943,4825,,,1.1000000000000002e-28,
K02909,-4.4686,0.71207,4825,,,5.4000000000000005e-27,
K08679,-5.7637,0.69747,4825,,,9.999999999999999e-57,
K09661,-6.6625,0.69592,4825,,,,
K17263,-7.9777,0.69424,4825,,,,
K19217,-5.3184,0.70175,4825,564.73,8.954464330090956e-171,1.3e-19,1.4517898023574964e+151
K21404,-6.4819,0.69494,4825,,,,
K00492,-5.7305,0.69928,4825,,,4.4e-23,
K11603,-5.5182,0.70286,4825,,,2.5e-85,
K18920,-4.6632,0.71917,4825,84.9,5.129595440767999e-25,,
K21674,-5.3625,0.70137,4825,,,,
K25572,-6.4636,0.69556,4825,,,,
K08468,-5.9669,0.69928,4825,,,,
K01991,-6.1185,0.69705,4825,102.83,5.035772188661535e-30,5.8e-23,11517598.06184082
K04357,-7.2394,0.69511,4825,,,,
K14570,-5.8617,0.69713,4825,,,,
K17588,-7.8263,0.69466,4825,,,,
K15774,-6.1351,0.69817,4825,,,,
K00265,-7.6601,0.69468,4825,,,2.6e-87,
K17967,-6.1985,0.69789,4825,,,,
K06391,-4.2472,0.70733,4825,78.7,1.5958317659120723e-22,,
K15126,-6.3911,0.69686,4825,936.67,1.875741582872545e-282,,
K13902,-5.1914,0.70072,4825,,,,
K13994,-4.5282,0.71853,4825,54.87,1.406288216365934e-15,,
K04636,-6.0005,0.69909,4825,,,,
K24091,-5.7819,0.69649,4825,,,,
K22243,-4.4207,0.70354,4825,,,,
K19664,-4.8064,0.7065,4825,153.9,9.722168511680095e-46,0.045,4.628596999315281e+43
K00344,-5.9692,0.69746,4825,,,5.7e-72,
K07909,-5.2277,0.70114,4825,,,,
K16148,-5.4015,0.69828,4825,311.07,5.135928485969345e-93,2.3999999999999996e-53,4.67296226292183e+39
K11683,-4.5548,0.71149,4825,,,,
K08892,-6.3359,0.69733,4825,,,,
